Time,Voltage
2.10E-02,10.2
2.10E-02,10.4
2.10E-02,10.6
2.10E-02,10
2.10E-02,10.6
2.10E-02,10.6
2.10E-02,10.6
2.10E-02,10.4
2.10E-02,10.8
2.10E-02,10.2
2.10E-02,10.4
2.10E-02,9.6
2.10E-02,10.4
2.10E-02,10.2
2.10E-02,10.4
2.11E-02,9.8
2.11E-02,10.6
2.11E-02,10.4
2.11E-02,10.4
2.11E-02,10
2.11E-02,10
2.11E-02,10.2
2.11E-02,10.2
2.11E-02,10.6
2.11E-02,10.4
2.11E-02,10.4
2.11E-02,10.4
2.11E-02,10.6
2.11E-02,10.2
2.11E-02,10.2
2.11E-02,9.8
2.11E-02,10.2
2.11E-02,10
2.11E-02,10.4
2.11E-02,9.6
2.11E-02,10.4
2.11E-02,10.4
2.11E-02,10
2.11E-02,9.8
2.11E-02,9.8
2.12E-02,10.4
2.12E-02,10.6
2.12E-02,10.4
2.12E-02,10.4
2.12E-02,10.2
2.12E-02,10.2
2.12E-02,10.6
2.12E-02,10.6
2.12E-02,10.2
2.12E-02,10.4
2.12E-02,10.2
2.12E-02,10.4
2.12E-02,10.2
2.12E-02,9.8
2.12E-02,10.4
2.12E-02,10
2.12E-02,10.2
2.12E-02,10.4
2.12E-02,10.4
2.12E-02,10.6
2.12E-02,10
2.12E-02,10.4
2.12E-02,10.4
2.12E-02,10.2
2.12E-02,10.2
2.13E-02,10.2
2.13E-02,9.8
2.13E-02,9.8
2.13E-02,10.6
2.13E-02,9.8
2.13E-02,10.2
2.13E-02,10.6
2.13E-02,10
2.13E-02,10.4
2.13E-02,10.4
2.13E-02,10
2.13E-02,9.6
2.13E-02,10
2.13E-02,10.2
2.13E-02,10
2.13E-02,10.2
2.13E-02,10.2
2.13E-02,10.2
2.13E-02,10.4
2.13E-02,10.4
2.13E-02,10.4
2.13E-02,10.6
2.13E-02,10.6
2.13E-02,10.2
2.13E-02,10.2
2.14E-02,10.4
2.14E-02,9.8
2.14E-02,9.8
2.14E-02,10.4
2.14E-02,10.2
2.14E-02,10.6
2.14E-02,10.4
2.14E-02,10.8
2.14E-02,10.4
2.14E-02,10.2
2.14E-02,10.4
2.14E-02,10.6
2.14E-02,9.8
2.14E-02,10.6
2.14E-02,10
2.14E-02,10.6
2.14E-02,10
2.14E-02,10.6
2.14E-02,10
2.14E-02,10.6
2.14E-02,9.8
2.14E-02,9.8
2.14E-02,9.8
2.14E-02,10.4
2.14E-02,10.2
2.15E-02,10.4
2.15E-02,10.4
2.15E-02,10.4
2.15E-02,10
2.15E-02,10.4
2.15E-02,10.2
2.15E-02,10.6
2.15E-02,10.2
2.15E-02,9.8
2.15E-02,10.4
2.15E-02,10
2.15E-02,10.6
2.15E-02,10.2
2.15E-02,10.2
2.15E-02,9.8
2.15E-02,10.2
2.15E-02,10.4
2.15E-02,10.4
2.15E-02,10.4
2.15E-02,10.4
2.15E-02,10
2.15E-02,10.4
2.15E-02,9.6
2.15E-02,10.4
2.15E-02,10
2.16E-02,10.2
2.16E-02,10
2.16E-02,10.2
2.16E-02,10
2.16E-02,10.2
2.16E-02,10.6
2.16E-02,10.8
2.16E-02,10.2
2.16E-02,10.4
2.16E-02,10.2
2.16E-02,9.6
2.16E-02,9.6
2.16E-02,10.2
2.16E-02,10.4
2.16E-02,10.6
2.16E-02,10.6
2.16E-02,10.6
2.16E-02,10.4
2.16E-02,10.6
2.16E-02,10.4
2.16E-02,10
2.16E-02,10.4
2.16E-02,9.6
2.16E-02,10.2
2.16E-02,9.8
2.17E-02,10.4
2.17E-02,9.8
2.17E-02,10.4
2.17E-02,10.2
2.17E-02,9.8
2.17E-02,10.8
2.17E-02,10
2.17E-02,10
2.17E-02,10.4
2.17E-02,10.4
2.17E-02,9.8
2.17E-02,10.4
2.17E-02,10.2
2.17E-02,10.4
2.17E-02,10.2
2.17E-02,9.6
2.17E-02,10.2
2.17E-02,10
2.17E-02,10.4
2.17E-02,10.4
2.17E-02,10.2
2.17E-02,9.8
2.17E-02,10.2
2.17E-02,9.8
2.17E-02,10.4
2.18E-02,9.8
2.18E-02,10.4
2.18E-02,10.8
2.18E-02,10.2
2.18E-02,10.6
2.18E-02,10.4
2.18E-02,10.8
2.18E-02,10
2.18E-02,10.6
2.18E-02,9.8
2.18E-02,10.2
2.18E-02,10
2.18E-02,10.2
2.18E-02,10
2.18E-02,10.2
2.18E-02,10
2.18E-02,10.6
2.18E-02,10.2
2.18E-02,10.2
2.18E-02,10.2
2.18E-02,10.4
2.18E-02,10.2
2.18E-02,10
2.18E-02,10.2
2.18E-02,10.4
2.19E-02,10.4
2.19E-02,9.8
2.19E-02,10.4
2.19E-02,10
2.19E-02,10.2
2.19E-02,10.2
2.19E-02,9.8
2.19E-02,10.4
2.19E-02,10.4
2.19E-02,10
2.19E-02,10.6
2.19E-02,10.2
2.19E-02,9.8
2.19E-02,10.2
2.19E-02,10.2
2.19E-02,10
2.19E-02,10.4
2.19E-02,10.2
2.19E-02,10.4
2.19E-02,10
2.19E-02,10
2.19E-02,10
2.19E-02,10.4
2.19E-02,10
2.19E-02,10.6
2.20E-02,9.8
2.20E-02,10.2
2.20E-02,10.2
2.20E-02,9.6
2.20E-02,10
2.20E-02,9.8
2.20E-02,9.6
2.20E-02,10.4
2.20E-02,9.6
2.20E-02,10.4
2.20E-02,9.8
2.20E-02,9.8
2.20E-02,10.4
2.20E-02,10.6
2.20E-02,10
2.20E-02,10
2.20E-02,10
2.20E-02,10.2
2.20E-02,10
2.20E-02,10.4
2.20E-02,10
2.20E-02,9.8
2.20E-02,10.2
2.20E-02,10.2
2.20E-02,10
2.21E-02,9.6
2.21E-02,10.4
2.21E-02,9.8
2.21E-02,10.2
2.21E-02,10.2
2.21E-02,9.8
2.21E-02,10
2.21E-02,10.4
2.21E-02,9.8
2.21E-02,10.2
2.21E-02,10
2.21E-02,9.8
2.21E-02,10.4
2.21E-02,9.8
2.21E-02,9.8
2.21E-02,10.2
2.21E-02,10.4
2.21E-02,9.8
2.21E-02,10
2.21E-02,10
2.21E-02,9.6
2.21E-02,10.2
2.21E-02,10.2
2.21E-02,9.8
2.21E-02,10.2
2.22E-02,10
2.22E-02,10.2
2.22E-02,10.2
2.22E-02,10.2
2.22E-02,10.4
2.22E-02,10.4
2.22E-02,10
2.22E-02,10.2
2.22E-02,9.8
2.22E-02,10.6
2.22E-02,10.6
2.22E-02,10.2
2.22E-02,10.2
2.22E-02,10.6
2.22E-02,10.4
2.22E-02,10.2
2.22E-02,10.6
2.22E-02,10.4
2.22E-02,10.2
2.22E-02,10.6
2.22E-02,9.4
2.22E-02,9.8
2.22E-02,10.2
2.22E-02,10
2.22E-02,10
2.23E-02,9.6
2.23E-02,10.4
2.23E-02,10.4
2.23E-02,9.8
2.23E-02,10.6
2.23E-02,10
2.23E-02,10
2.23E-02,10.4
2.23E-02,9.8
2.23E-02,10.2
2.23E-02,9.8
2.23E-02,9.8
2.23E-02,10.2
2.23E-02,9.8
2.23E-02,10.4
2.23E-02,10.4
2.23E-02,10.2
2.23E-02,10.4
2.23E-02,10
2.23E-02,10.4
2.23E-02,10.4
2.23E-02,10
2.23E-02,10.4
2.23E-02,10.2
2.23E-02,9.6
2.24E-02,10.2
2.24E-02,10.2
2.24E-02,10.2
2.24E-02,10.6
2.24E-02,10
2.24E-02,9.8
2.24E-02,9.8
2.24E-02,10.2
2.24E-02,10.4
2.24E-02,10.2
2.24E-02,9.8
2.24E-02,10
2.24E-02,9.8
2.24E-02,10.6
2.24E-02,10.4
2.24E-02,10.4
2.24E-02,10.6
2.24E-02,10
